stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,source
3215,21758,NEW YORK AVE AT 43RD ST,,40.777739,-74.023282,0,bus
3216,21759,NEW YORK AVE AT 45TH ST,,40.778939,-74.022304,0,bus
3219,21748,NEW YORK AVE AT 13TH ST,,40.76007,-74.035711,0,bus
3224,21744,NEW YORK AVE AT 2ND ST,,40.752909,-74.040181,0,bus
3225,21747,NEW YORK AVE AT 10TH ST,,40.758228,-74.036852,0,bus
3226,21757,NEW YORK AVE AT 40TH ST,,40.775758,-74.024832,0,bus
3227,21760,NEW YORK AVE AT 46TH ST,,40.780008,-74.021421,0,bus
3233,21786,PARK AVE AT 34TH ST,,40.770537,-74.023221,0,bus
3432,23594,RT-34 AT CANYON WOODS DR SOUTH,,40.418448,-74.254811,0,bus
3433,23591,RT-34 AT CANYON WOODS DR NORTH,,40.419807,-74.258141,0,bus
3511,26229,PORT AUTHORITY BUS TERMINAL,,40.756367,-73.990753,12336,bus
3874,27494,VREELAND AVE AT 17TH AVE/E 34TH ST,,40.911398,-74.142041,0,bus
3958,27122,MAIN AVE AT TENNYSON PL,,40.843248,-74.130013,0,bus
4174,26875,VAN HOUTEN AVE AT STONY HILL RD,,40.878438,-74.182173,0,bus
4268,27935,MCBRIDE AVE AT WEST 34TH ST,,40.90497,-74.197341,0,bus
4274,27939,MCBRIDE AVE AT WHIPPANY AVE,,40.893798,-74.207661,0,bus
4765,28920,LONG AVENUE AT NEW YORK PLACE,,40.698827,-74.233102,336,bus
4780,28921,LONG AVENUE AT NEW YORK PLACE,,40.698899,-74.233723,0,bus
9372,20826,JFK BLVD AT MANHATTAN AVE,,40.745209,-74.057822,8195,bus
9413,20844,JFK BLVD AT MANHATTAN AVE,,40.745508,-74.057851,0,bus
12766,19667,CR-663 at ANDY SNYDER RD #,,39.827939,-75.144443,0,bus
15562,23450,GEORGE ST AT ALBANY ST,,40.49776,-74.444523,8192,bus
16356,21647,ENTERPRISE AVE AT SECAUCUS RD,,40.778747,-74.069792,8192,bus
16357,21648,SECAUCUS RD AT SINVALCO RD,,40.777728,-74.066443,0,bus
16359,21536,COUNTY AVE AT SECAUCUS RD,,40.776128,-74.061643,0,bus
16368,21651,SECAUCUS RD AT SINVALCO RD,,40.777607,-74.06589,8192,bus
16455,21654,ENTERPRISE AVE AT SECAUCUS RD,,40.779517,-74.071982,0,bus
16456,21655,SECAUCUS ROAD AT HARTZ WAY,,40.780378,-74.074812,0,bus
16489,21644,SECAUCUS RD AT HARTZ WAY,,40.780279,-74.074814,0,bus
16490,21646,SECAUCUS RD AT ENTERPRISE AVE NORTH,,40.779347,-74.071782,0,bus
16491,21552,ENTERPRISE AVE AT SECAUCUS RD,,40.780038,-74.070981,0,bus
17082,20496,HOBOKEN TERMINAL,,40.735588,-74.02911,336,bus
17187,21650,SECAUCUS RD AT COUNTY AVE,,40.776637,-74.063992,8195,bus
18948,20887,MANHATTAN AVE AT JFK BLVD,,40.7457,-74.058493,0,bus
18969,21546,COUNTY AVE AT SECAUCUS RD,,40.775358,-74.062561,0,bus
19103,16481,OCEAN DR AT 42ND ST#,,39.089058,-74.731531,8192,bus
19534,21284,KEARNY AVE AT SEELEY AVE#,,40.780087,-74.139991,0,bus
19537,21245,KEARNY AVE AT STEWART AVE,,40.777067,-74.14194,0,bus
19538,21285,KEARNY AVE AT MAGNOLIA AVE#,,40.77621,-74.142381,0,bus
19540,21287,KEARNY AVE AT LAUREL AVE#,,40.774738,-74.143121,0,bus
19542,21289,KEARNY AVE AT COLUMBIA AVE#,,40.773308,-74.14389,0,bus
19543,21290,KEARNY AVE AT LOCUST AVE#,,40.772149,-74.144471,0,bus
19544,21246,KEARNY AVE AT MIDLAND AVE,,40.770968,-74.145082,0,bus
19545,21291,KEARNY AVE AT NEW LAWN TERRACE#,,40.769748,-74.145711,0,bus
19546,21292,KEARNY AVE AT OAKWOOD AVE#,,40.768589,-74.14631,0,bus
19547,21293,KEARNY AVE AT PAVONIA AVE#,,40.76743,-74.146913,0,bus
19548,21247,KEARNY AVE AT QUINCY AVE,,40.765909,-74.147701,0,bus
19549,21294,KEARNY AVE AT GROVE ST#,,40.764879,-74.148223,0,bus
19550,21295,KEARNY AVE AT LIBERTY ST#,,40.763958,-74.148801,0,bus
19551,21296,KEARNY AVE AT HALSTEAD ST#,,40.762728,-74.149633,0,bus
19552,21297,KEARNY AVE AT AFTON ST#,,40.761448,-74.150501,0,bus
19553,21248,KEARNY AVE AT BERGEN AVE,,40.75956,-74.151763,0,bus
